Archivo,Pista 1,Pista 2
Lstm - Cancion 1.mid,2.143712574850299,1.3018181818181818
Lstm - Cancion 2.mid,1.6900826446280992,1.6916666666666667
Lstm - Cancion 3.mid,1.3693379790940767,2.7746478873239435
Lstm - Cancion 4.mid,1.4262948207171315,1.2013422818791946
Lstm - Cancion 5.mid,1.6126126126126126,1.87434554973822
MLP - Cancion 1.mid,28.94736842105263,17.5
RF - Cancion 1.mid,1.546218487394958,1.4153846153846155
RF - Cancion 2.mid,1.546218487394958,61.333333333333336
