Archivo,Metrica_Right,Metrica_Left
Lstm - Cancion 1.mid,2,4
Lstm - Cancion 2.mid,3,3
Lstm - Cancion 3.mid,4,3
Lstm - Cancion 4.mid,3,4
Lstm - Cancion 5.mid,4,4
MLP - Cancion 1.mid,0,0
RF - Cancion 1.mid,3,5
RF - Cancion 2.mid,3,7
