Modelo,Accuracy
RandomForest_50,0.47058823529411764
RandomForest_100,0.8823529411764706
RandomForest_200_depth10,0.5882352941176471
RandomForest_500_depth15,0.7058823529411765
RandomForest_1000_minLeaf3,0.8235294117647058
RandomForest_300_depth20_minSplit6,0.7647058823529411
RandomForest_150_depth5,0.7647058823529411
RandomForest_50_minSplit8_minLeaf5,0.47058823529411764
RandomForest_400_minSplit10_depth30,0.4117647058823529
RandomForest_250_depthNone_minLeaf2,0.9411764705882353
RandomForest_700_depthNone,0.8235294117647058
RandomForest_500_depth25_minLeaf4,0.7058823529411765
RandomForest_300_depth15_minLeaf6,0.7058823529411765
RandomForest_100_depth20_minLeaf2,0.8235294117647058
RandomForest_200_depth30_minLeaf3,0.7647058823529411
MLP_50,0.4117647058823529
MLP_100,0.47058823529411764
MLP_50_20,0.23529411764705882
MLP_100_50,0.5294117647058824
MLP_150_relu,0.29411764705882354
MLP_50_50_adam,0.4117647058823529
MLP_200_tanh,0.8235294117647058
MLP_100_25_relu,0.35294117647058826
MLP_50_50_lbfgs,0.23529411764705882
MLP_100_adaptive,0.35294117647058826
MLP_50_20_10,0.23529411764705882
MLP_200_relu_alpha1e-4,0.5294117647058824
MLP_300_150_tanh,0.5882352941176471
MLP_400_logistic,0.4117647058823529
MLP_250_100_50_adam,0.6470588235294118
